pair,preposition,iou,experiment_path
preposition-object,in,0.0,experiments/230147
preposition-verb,in,0.0,experiments/230147
preposition-subject,on,0.04116743430495262,experiments/641344
preposition-object,on,0.0003770739131141454,experiments/641344
preposition-verb,on,0.0,experiments/641344
preposition-subject,with,0.02600472792983055,experiments/227167
preposition-object,with,0.0,experiments/227167
preposition-subject,on,0.0,experiments/416046
preposition-object,on,0.0,experiments/416046
preposition-verb,on,0.0,experiments/416046
preposition-subject,in,0.08603852987289429,experiments/47166
preposition-object,in,0.0,experiments/47166
preposition-subject,in,0.0,experiments/807277
preposition-object,in,0.0,experiments/807277
preposition-subject,of,0.0,experiments/382961
preposition-object,of,0.1818181872367859,experiments/382961
preposition-subject,down,0.0,experiments/410741
preposition-object,down,0.0,experiments/410741
preposition-verb,down,0.0,experiments/410741
preposition-subject,inside,0.0439189188182354,experiments/588235
preposition-object,inside,0.008326827548444271,experiments/588235
preposition-verb,inside,0.0,experiments/588235
preposition-subject,near,0.0,experiments/397604
preposition-object,near,0.0,experiments/397604
preposition-verb,near,0.0,experiments/397604
preposition-subject,under,0.667393684387207,experiments/429854
preposition-object,under,0.15837214887142181,experiments/429854
preposition-verb,under,0.22707854211330414,experiments/429854
preposition-subject,on,0.0,experiments/329244
preposition-object,on,0.0,experiments/329244
preposition-verb,on,0.0,experiments/329244
preposition-subject,with,0.0,experiments/90076
preposition-object,with,0.0,experiments/90076
preposition-verb,with,0.0,experiments/90076
preposition-subject,of,0.0,experiments/28935
preposition-object,of,0.0,experiments/28935
preposition-verb,of,0.0,experiments/28935
preposition-subject,at,0.0,experiments/95365
preposition-object,at,0.0,experiments/95365
preposition-verb,at,0.0,experiments/95365
preposition-subject,from,0.0,experiments/342758
preposition-object,from,0.0,experiments/342758
preposition-subject,with,0.0009777561062946916,experiments/28968
preposition-object,with,0.0014925373252481222,experiments/28968
preposition-subject,on,0.0,experiments/16116
preposition-object,on,0.0,experiments/16116
preposition-subject,of,0.0,experiments/117489
preposition-object,of,0.0,experiments/117489
preposition-verb,of,0.0,experiments/117489
preposition-subject,in front of,0.0,experiments/89252
preposition-object,in front of,0.0,experiments/89252
preposition-verb,in front of,0.0,experiments/89252
preposition-subject,of,0.0,experiments/124198
preposition-object,of,0.0,experiments/124198
preposition-verb,of,0.0,experiments/124198
preposition-subject,on,0.21795855462551117,experiments/35501
preposition-object,on,0.17129071056842804,experiments/35501
preposition-verb,on,0.0,experiments/35501
preposition-subject,next to,0.0,experiments/202154
preposition-object,next to,0.0,experiments/202154
preposition-verb,next to,0.0,experiments/202154
preposition-subject,in,0.0,experiments/788761
preposition-object,in,0.0,experiments/788761
preposition-verb,in,0.0,experiments/788761
preposition-subject,at,0.0,experiments/683741
preposition-object,at,0.0,experiments/683741
preposition-verb,at,0.0,experiments/683741
preposition-subject,of,0.0714285746216774,experiments/405306
preposition-object,of,0.04482758790254593,experiments/405306
preposition-verb,of,0.0,experiments/405306
preposition-subject,on,0.6361788511276245,experiments/49858
preposition-object,on,0.03060869500041008,experiments/49858
preposition-verb,on,0.0,experiments/49858
preposition-subject,down,0.024612579494714737,experiments/444841
preposition-object,down,0.0,experiments/444841
preposition-verb,down,0.0,experiments/444841
preposition-subject,on,0.0,experiments/778772
preposition-object,on,0.0,experiments/778772
preposition-verb,on,0.0,experiments/778772
preposition-subject,of,0.0,experiments/116285
preposition-object,of,0.0,experiments/116285
preposition-subject,on,0.0,experiments/100955
preposition-object,on,0.0,experiments/100955
preposition-verb,on,0.0,experiments/100955
preposition-subject,with,0.8296112418174744,experiments/417938
preposition-object,with,0.6189054846763611,experiments/417938
preposition-verb,with,0.0,experiments/417938
preposition-subject,on top of,0.0,experiments/288399
preposition-object,on top of,0.0,experiments/288399
preposition-verb,on top of,0.0,experiments/288399
preposition-subject,of,0.0,experiments/372339
preposition-object,of,0.0,experiments/372339
preposition-verb,of,0.0,experiments/372339
preposition-subject,on,0.0,experiments/178720
preposition-object,on,0.0,experiments/178720
preposition-verb,on,0.0,experiments/178720
preposition-subject,at,0.0,experiments/558725
preposition-object,at,0.0,experiments/558725
preposition-verb,at,0.0,experiments/558725
preposition-subject,of,0.0,experiments/477038
preposition-object,of,0.0,experiments/477038
preposition-verb,of,0.0,experiments/477038
preposition-subject,up of,0.0,experiments/120872
preposition-object,up of,0.0,experiments/120872
preposition-subject,along,0.0,experiments/509219
preposition-object,along,0.0,experiments/509219
preposition-verb,along,0.0,experiments/509219
preposition-subject,on,0.0,experiments/29791
preposition-object,on,0.0,experiments/29791
preposition-verb,on,0.0,experiments/29791
preposition-subject,on,0.0,experiments/265185
preposition-object,on,0.0,experiments/265185
preposition-verb,on,0.0,experiments/265185
preposition-subject,of,0.0,experiments/337623
preposition-object,of,0.0,experiments/337623
preposition-verb,of,0.0,experiments/337623
preposition-subject,on top of,0.0,experiments/394398
preposition-object,on top of,0.0,experiments/394398
preposition-subject,to,0.0,experiments/665817
preposition-object,to,0.0,experiments/665817
preposition-verb,to,0.0,experiments/665817
preposition-subject,on,0.0,experiments/777486
preposition-object,on,0.0,experiments/777486
preposition-verb,on,0.0,experiments/777486
preposition-subject,close to,0.0,experiments/239012
preposition-object,close to,0.0,experiments/239012
preposition-verb,close to,0.0,experiments/239012
preposition-subject,along,0.0002500625269021839,experiments/585034
preposition-object,along,0.0,experiments/585034
preposition-verb,along,0.0036900369450449944,experiments/585034
preposition-subject,at,0.0,experiments/693738
preposition-object,at,0.0,experiments/693738
preposition-verb,at,0.0,experiments/693738
preposition-subject,in,0.0014652014942839742,experiments/749538
preposition-object,in,0.0009551098337396979,experiments/749538
preposition-verb,in,0.0,experiments/749538
